Kodas,EAN,Likutis
5910643,5904165689344,1
5910644,5904165689351,1
5910645,5904165689368,1
5910646,5904165689375,0
5911984,5907001940050,5
5911985,5907001940067,5
5914832,5907001941767,15
5914833,5907001941774,15
5914834,5907001941781,15
5914835,5907001941750,15
5914836,5907001941279,15
5914837,5907001941286,15
5907743,5904165685872,5
5907744,5904165685889,1
5907745,5904165685896,0
5908407,5904165687449,0
5908408,5904165687456,5
5914838,5907001941736,15
5914839,5907001941743,15
783467,5904165680297,0
5903520,5904165684264,1
782143,5902605479579,0
787540,5904165682130,5
787541,5904165681881,1
787542,5904165681898,5
787526,5904165682178,15
5907747,5904165684431,1
5907748,5904165684448,1
5907749,5904165684455,5
5907750,5904165684462,5
5907751,5904165684479,1
5911220,5904165684509,5
5907753,5904165685759,1
5907754,5904165685766,5
5907755,5904165685773,1
5907756,5904165685780,1
5907758,5904165685803,1
5908412,5904165687753,5
5908413,5904165687760,1
5910647,5904165689467,5
5910648,5904165689474,1
5910649,5904165689481,1
5911986,5907001940074,15
5911987,5907001940081,5
5914773,5907001941828,15
5914774,5907001941835,15
5914775,5907001941842,5
5914776,5907001941811,15
5914777,5907001941293,15
5914778,5907001941309,15
5907762,5904165685841,1
5908415,5904165687395,5
5908416,5904165687401,1
5914779,5907001941798,15
5914780,5907001941804,15
5907757,5904165685797,1
5908409,5904165687722,1
5908410,5904165687739,0
5908411,5904165687746,5
5907761,5904165685834,1
5907763,5904165685858,1
5907764,5904165685865,5
5908740,5904165688453,1
5908741,5904165688460,1
5908743,5904165688484,1
5908744,5904165687807,0
5908745,5904165687821,1
5908746,5904165687814,1
768655,5902605471573,0
5906646,5904165685032,0
5911333,5904165689030,1
5906112,5904165685148,15
5903650,5904165680709,0
784729,5904165681294,15
912,5901571374253,0
5914637,5907001941972,1
5911802,5907001940142,0
5911803,5907001940159,0
5909177,5904165688545,1
5906894,5904165685698,1
5906895,5904165685568,1
5906896,5904165685704,1
5906897,5904165685711,0
5909178,5904165687913,1
5909179,5904165687920,0
5914841,5907001941880,1
5911804,5907001940029,0
760617,5901571374376,0
5903180,5904165683793,0
5903181,5904165683809,0
