SKU,EAN,STOCK,STATUS
777372,5901435410660,5,instock
777018,5901435410394,0,outofstock
770821,5901435408254,15,instock
539,5904341205009,15,instock
1267,5904341205016,15,instock
3376,5901435400678,15,instock
9993,5904341205047,1,instock
22845,5901435403655,1,instock
770822,5901435408100,15,instock
5912459,5901435417317,0,outofstock
772627,5902963015310,1,instock
772625,5902963015327,1,instock
772626,5902963015341,1,instock
772628,5902963015334,0,outofstock
772629,5902963015358,1,instock
786155,5902963015266,15,instock
786157,5902963015273,5,instock
786154,5902963015280,5,instock
786159,5902963015259,5,instock
786156,5902963015297,1,instock
772185,5902963071774,15,instock
771956,5902963071767,15,instock
772049,5902963071750,15,instock
772050,5902963071743,15,instock
772051,5902963071736,15,instock
772187,5902963071682,15,instock
771957,5902963071668,1,instock
772044,5902963071699,15,instock
772045,5902963071705,15,instock
772046,5902963071712,15,instock
778405,5902963015198,1,instock
778403,5902963015204,1,instock
778404,5902963015211,5,instock
778406,5902963015228,1,instock
778407,5902963015235,5,instock
778402,5902963015242,1,instock
772198,5902963071552,15,instock
772041,5902963071569,1,instock
772197,5902963071576,0,outofstock
772199,5902963071583,5,instock
772200,5902963071590,5,instock
21393,,15,instock
784480,5902963002150,0,outofstock
771230,5902963071385,5,instock
784510,5902963002181,5,instock
768291,5901549198812,5,instock
777113,5902963007063,15,instock
777568,5902963070227,15,instock
777114,5902963007087,15,instock
777115,5902963007094,0,outofstock
777117,5902963007100,15,instock
777116,5902963007117,15,instock
786151,5902963007124,5,instock
777565,5902963007131,15,instock
5909167,5905489408529,1,instock
5914536,5902963002969,15,instock
5914536,5902963002976,1,instock
761267,5902963007148,1,instock
775669,5902963007155,5,instock
779249,5902963001283,15,instock
779237,5902963001290,1,instock
779254,5902963001306,1,instock
779242,5902963001313,1,instock
779247,5902963001320,5,instock
779247,5902963001337,0,outofstock
779257,5902963001344,15,instock
779245,5902963001351,15,instock
779246,5902963001368,5,instock
779246,5902963001375,15,instock
779256,5902963001382,15,instock
779244,5902963001399,15,instock
779255,5902963001405,1,instock
779251,5902963001429,5,instock
779239,5902963001436,5,instock
5912428,5902963001566,0,outofstock
5912429,5902963001573,5,instock
5912430,5902963001580,0,outofstock
5912267,5902963001597,15,instock
779253,5902963001450,5,instock
779241,5902963001443,1,instock
779260,5902963001542,15,instock
779248,5902963001559,1,instock
5914716,5905489408925,5,instock
5914538,5905489408949,15,instock
5914539,5905489408932,15,instock
5914540,5905489408956,15,instock
772377,5902963015181,5,instock
772376,5902963015174,5,instock
772379,5902963015167,5,instock
772375,5902963015150,5,instock
772378,5902963015143,5,instock
772367,5902963015136,5,instock
772366,5902963015129,5,instock
772369,5902963015112,5,instock
772365,5902963015105,5,instock
772368,5902963015099,0,outofstock
772353,5902963015082,1,instock
772352,5902963015075,5,instock
772355,5902963015068,5,instock
772351,5902963015051,5,instock
772354,5902963015044,5,instock
772420,5902963015037,15,instock
772419,5902963015020,15,instock
772422,5902963015013,15,instock
772418,5902963015006,15,instock
772421,5902963014993,15,instock
772415,5902963071996,5,instock
