Kodas,EAN,stock_local,stock_supplier_fast,stock_supplier_slow,total_stock
2102133,8906139540924,0,123,0,123
2102285,8906139541648,0,203,0,203
210301,5425020500401,0,4,0,4
210308,5425020500418,0,2,0,2
210401,5425020500425,0,0,0,0
210408,5425020500432,0,0,0,0
210501,5425020500449,0,0,0,0
210508,5425020500456,0,0,0,0
210601,5425020500463,0,3,0,3
210608,5425020500470,0,1,0,1
210701,5425020500487,0,2,0,2
210708,5425020500494,0,0,0,0
21102,5907784469441,0,0,1,1
21127,5904341206518,0,0,15,15
21139,4052396083163,0,0,1,1
21141,4052396093100,0,0,1,1
21148,5900238622133,0,0,1,1
212101,5425020500616,0,0,0,0
212201,5425020500623,0,0,0,0
212301,5425020500609,0,46,0,46
212401,5425020500593,0,23,0,23
212501,5425020500630,0,0,0,0
21259,8720689035842,0,0,5,5
21355,5900516402242,0,0,15,15
21387,5901912241084,0,0,5,5
21393,,0,0,15,15
21409,5903753003029,0,0,0,0
2145,5903753003005,0,0,0,0
2146,,0,0,1,1
21471,,0,0,1,1
215,,0,0,15,15
21504,5907644000050,0,0,15,15
21538,5902963008879,0,0,1,1
21628,5902675001915,0,0,5,5
2168,5902686304579,0,51,1,52
2175,5200384502175,0,8,0,8
2182,5200384502182,0,15,0,15
21843,4052396092899,0,0,0,0
2199,5200384502199,0,12,0,12
22009,5901571374581,0,0,0,0
2202010,8906139540542,0,216,0,216
2202011,8906139540559,0,188,0,188
2202013,8906139540573,0,213,0,213
22177,4052396071764,0,0,5,5
22191,5902686300342,0,0,0,0
22214,5903753003319,0,0,15,15
22244,5906775397718,0,0,1,1
2231,5906775390016,0,0,1,1
22316,,0,0,1,1
22321,4052396073393,0,0,1,1
22401,5901912241138,0,0,1,1
22454,4052396058055,0,0,5,5
2246,5906775398531,0,0,1,1
22620,,0,0,0,0
2271,5906775391327,0,0,1,1
22845,5901435403655,0,0,15,15
22940,5905127150278,0,0,15,15
22983,5904903543464,0,0,1,1
23183,5907536700013,0,0,0,0
23233,5907784469236,0,0,1,1
2323855,8906139541556,0,215,0,215
23262,5902686304562,0,0,1,1
23267,5907572374476,0,0,5,5
23268,5907572374483,0,0,5,5
23269,5902686302339,0,0,1,1
23271,5902686302353,0,0,1,1
23273,5902686302391,0,0,1,1
23279,5907572370737,0,0,1,1
23284,5902686309628,0,0,1,1
23347,5707167944011,0,772,0,772
234,,0,0,15,15
23593,5902675043540,0,0,1,1
2378,,0,0,1,1
23874,5900238623741,0,0,1,1
23880,5900238634143,0,0,1,1
23912,5902686300533,0,0,1,1
23986,5901435402498,0,0,15,15
24008,5907784469311,0,0,1,1
2408,5907784465214,0,0,1,1
24173,5901912240421,0,0,15,15
24281,5901912242036,0,0,1,1
24283,5901912242012,0,0,15,15
24299,,0,0,0,0
2431,5904341208864,0,0,15,15
24597,,0,0,1,1
24655,5900238636925,0,0,1,1
24706,5900694749009,0,0,1,1
24708,5900694703407,0,0,1,1
2473,5906775397800,0,0,1,1
24732,5900694710801,0,0,1,1
2477,5900238638851,0,0,1,1
24791,5900694322103,0,0,1,1
24792,5900694322202,0,0,1,1
24793,5900694323308,0,0,1,1
24798,5900694651005,0,0,1,1
24805,5900694660007,0,0,1,1
24811,5900694650053,0,0,1,1
24827,5906197804603,0,0,0,0
24828,,0,0,0,0
24943,5902675039048,0,0,1,1
24953,5901750297250,0,0,0,0
2496,,0,0,1,1
24963,5900694413405,0,0,0,0
25040,5901560818126,0,0,1,1
25052,5907180601131,0,0,15,15
25111,5900004074517,0,0,0,0
25129,5901435403464,0,0,15,15
2518,5904356906311,0,0,1,1
25190,5902675039208,0,0,1,1
25193,5902675039505,0,0,0,0
2532,5902963007735,0,0,5,5
2537,5906775391884,0,0,1,1
25400,5907644002498,0,0,1,1
25413,5907644013203,0,0,1,1
25526,5900694650152,0,0,1,1
25528,5900694660151,0,0,1,1
25530,5900694109155,0,0,15,15
25578,5901912243781,0,0,1,1
25583,5901912243750,0,0,1,1
25599,5907572370317,0,0,1,1
25609,5010415470249,0,0,5,5
25635,5901436568001,0,0,5,5
25653,5900694750371,0,0,1,1
2566,5907803145042,0,0,1,1
2706,5902675024440,0,0,15,15
27070,5712854125215,0,195,0,195
2708,5904356906397,0,0,0,0
27190,5712854375320,0,327,0,327
2785,5906453408118,0,0,1,1
2828,5907784468253,0,0,0,0
2848,5905436714093,0,0,5,5
291,5901436568117,0,0,0,0
29121,5712854149303,0,21,0,21
29138,5712854149815,0,1,0,1
29175,5712854226721,0,489,0,489
29178,5712854226783,0,21,0,21
2940,5900238632507,0,0,1,1
3041,5901912240032,0,0,0,0
3042,5901912244320,0,0,5,5
3043,,0,0,0,0
30805,6970089159514,0,1,0,1
30806,6970089159538,0,0,0,0
31042,6942138970920,0,0,1,1
310426,8906139546025,0,178,0,178
310477,8906139546131,0,221,0,221
3151,,0,0,1,1
3166,5904341207157,0,0,15,15
3210,5710409200011,0,211,0,211
3223,5710409200707,0,0,0,0
3224,5710409200714,0,24,0,24
3225,5710409200721,0,41,0,41
3227,5710409200745,0,2,0,2
3230,5710409200165,0,9,0,9
3231,5710409200172,0,7,0,7
3232,5710409200202,0,13,0,13
3246,5710409200370,0,7,0,7
3247,5710409200387,0,4,0,4
327,5907645897093,0,0,15,15
3271,5710409200776,0,64,0,64
3272,5710409200783,0,7,0,7
3273,5710409200790,0,53,0,53
3274,5710409200806,0,58,0,58
3275,5710409200813,0,63,0,63
3286,5710409200905,0,14,0,14
3287,5710409200912,0,11,0,11
3288,5710409200929,0,4,0,4
3289,5710409200943,0,6,0,6
3290,5710409200950,0,4,0,4
3292,5710409200974,0,6,0,6
3293,5710409200981,0,12,0,12
3310,5710409100038,0,59,0,59
3311,5710409100045,0,12,0,12
3312,5710409100052,0,67,0,67
3320,5710409100069,0,6,0,6
3350,5710409100465,0,40,0,40
3373,5710409100595,0,13,0,13
3374,5710409100601,0,9,0,9
3375,5710409100618,0,2,0,2
3376,5901435400678,0,0,15,15
3378,5907501430983,0,0,1,1
3379,5710409101219,0,0,0,0
3380,5710409100755,0,2,0,2
3381,,0,0,15,15
3382,5710409100779,0,2,15,17
3383,5710409100786,0,1,0,1
3387,5710409102766,0,6,0,6
33P2101,5055166343510,0,0,0,0
33P2103,5055166343534,0,2,0,2
3404,5710409105385,0,5,0,5
3406,5710409105484,0,20,0,20
3408,5710409201032,0,0,0,0
3409,5710409201049,0,0,0,0
3410,5710409201056,0,6,0,6
3411,5710409201063,0,0,0,0
3413,5710409201087,0,1,0,1
3421,5907592169427,0,0,1,1
3423,5710409201209,0,277,0,277
3425,5710409201223,0,1,0,1
3430,5710409201278,0,23,0,23
344,5901560800893,0,0,1,1
3443,5710409201391,0,26,0,26
34469,5707167191057,0,57,0,57
3447,5710409108102,0,9,0,9
3448,5710409201421,0,4,0,4
3485,5710409201797,0,213,0,213
3486,5710409201803,0,112,0,112
